frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
0,0.064,0.349,0.196,0.0,103780,-97.21819,850.03809,647.37518,103782,-99.77845,835.8952,630.44586,103785,-77.3745,827.64221,632.04224,103838,-73.53898,844.96863,649.74738,103816,-78.47615,802.1004,752.36798,103805,-84.5228,825.91907,747.13721,103804,-59.88455,829.84937,743.20197,103814,-54.12152,805.94263,748.85767,103778,-80.99402,870.69159,716.41394,103807,-76.2047,850.15643,731.79779
1,0.064,0.349,0.196,0.0,103780,-97.17967,850.01935,647.34589,103782,-99.76517,835.87775,630.44202,103785,-77.73298,827.97559,632.0061,103838,-73.55822,844.93311,649.76331,103816,-78.55286,801.85327,751.92206,103805,-84.35165,825.62628,746.79456,103804,-59.88417,829.6438,742.84595,103814,-54.12781,805.66595,748.21051,103778,-80.99806,870.6972,716.39575,103807,-76.178,850.07135,731.67596
2,0.065,0.208,0.195,0.0,103780,-97.13631,850.00476,647.33618,103782,-99.73737,835.87567,630.4339,103785,-77.67919,827.99274,632.01056,103838,-73.52676,844.92285,649.77734,103816,-78.35661,801.54669,751.17023,103805,-84.19065,825.31122,746.4364,103804,-59.79958,829.54749,742.45807,103814,-53.96532,805.45325,747.57233,103778,-81.0083,870.71161,716.3811,103807,-76.19334,850.00031,731.54321
3,0.065,0.207,0.193,0.0,103780,-97.15701,849.99066,647.30524,103782,-99.74668,835.85699,630.44611,103785,-77.72005,827.93085,632.01434,103838,-73.51697,844.92645,649.79053,103816,-78.35491,801.25842,750.37622,103805,-84.30795,825.33777,746.19006,103804,-59.81028,829.48102,742.23376,103814,-53.90792,805.1051,746.6806,103778,-81.00996,870.685,716.35425,103807,-76.15548,849.91815,731.40894
4,0.065,0.299,0.194,0.0,103780,-97.13991,849.96533,647.28448,103782,-100.49895,835.22412,630.3335,103785,-77.68506,827.96375,632.01819,103838,-73.52856,844.92767,649.77216,103816,-78.08042,800.99512,749.76776,103805,-84.25978,825.04327,745.79077,103804,-59.66241,829.20337,741.73047,103814,-53.76584,804.85657,745.90717,103778,-81.03541,870.69446,716.33759,103807,-76.16839,849.86127,731.28876
5,0.065,0.299,0.194,0.0,103780,-97.15684,849.96619,647.27081,103782,-99.71287,836.11511,630.15942,103785,-77.71251,827.94257,632.00531,103838,-73.5461,844.91681,649.77423,103816,-77.91235,800.59076,749.19806,103805,-83.9421,824.40656,745.20966,103804,-59.05537,828.96185,740.99628,103814,-53.65773,804.71545,745.33582,103778,-81.05746,870.68292,716.36346,103807,-76.63784,849.4671,731.72687
6,0.065,0.205,0.189,0.0,103780,-97.18289,849.98407,647.33411,103782,-101.48115,834.34082,629.66254,103785,-77.702,827.97229,632.02692,103838,-73.53748,844.94989,649.76947,103816,-77.87587,800.3432,748.77448,103805,-83.9068,824.22278,744.99219,103804,-58.97392,828.84314,740.77747,103814,-53.53642,804.43298,744.80927,103778,-81.06743,870.67279,716.38068,103807,-76.62952,849.35681,731.64398
7,0.065,0.204,0.188,0.0,103780,-97.1393,849.99109,647.34467,103782,-101.48479,834.35132,629.66211,103785,-77.66299,828.02368,632.05536,103838,-73.5422,844.95801,649.77765,103816,-77.59586,800.38019,748.44574,103805,-84.00957,823.90363,744.79541,103804,-58.95325,828.67773,740.61493,103814,-53.56622,804.23029,744.44495,103778,-81.05521,870.63037,716.43561,103807,-76.60701,849.22467,731.57141
8,0.065,0.251,0.187,0.0,103780,-97.43587,850.04681,646.82721,103782,-101.46593,834.36896,629.68115,103785,-77.63245,828.04541,632.10376,103838,-73.53634,844.966,649.80438,103816,-78.13354,799.97772,748.24377,103805,-84.03706,823.61139,744.57312,103804,-58.95579,828.38055,740.38141,103814,-53.77035,804.34375,744.38495,103778,-81.03673,870.56927,716.49426,103807,-76.58073,849.0979,731.52008
9,0.065,0.251,0.187,0.0,103780,-97.4547,850.09717,646.91425,103782,-101.47699,834.36316,629.69843,103785,-77.61782,828.073,632.12488,103838,-73.53793,844.93707,649.84326,103816,-78.13173,799.69354,747.81439,103805,-84.16562,823.3125,744.45953,103804,-58.97728,828.20428,740.20111,103814,-53.78475,804.14905,743.92096,103778,-81.04113,870.54175,716.55011,103807,-75.88111,849.54285,730.93268
