frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
0,0.089,0.346,0.464,0.0,100015,-62.54582,803.90436,693.26703,106888,-38.99,797.81604,691.71136,106789,-35.55051,801.74762,716.13989,100017,-59.31704,807.73785,716.20221,105973,-59.44026,790.60699,831.08142,106674,-34.68106,794.6037,832.32416,106749,-35.76439,790.34741,857.10187,105974,-59.76814,784.88562,854.23181,100019,-44.16758,796.74084,784.34821,105972,-42.66601,788.81451,807.01276
1,0.09,0.352,0.468,0.0,100015,-61.991,804.4859,693.52515,106888,-39.03865,797.76654,691.95795,106789,-35.56763,801.68262,716.41998,100017,-59.06519,808.10303,716.61017,105973,-59.66289,790.59991,831.42676,106674,-34.76664,794.51385,832.5824,106749,-35.91743,790.23438,857.40015,105974,-59.91211,784.76465,854.49268,100019,-44.09496,796.5835,784.52985,105972,-42.72712,788.69373,807.20422
2,0.089,0.414,0.464,0.0,100015,-62.64091,803.72278,693.7002,106888,-39.09134,797.74719,692.25842,106789,-35.57299,801.61884,716.66309,100017,-59.16944,808.00568,716.85999,105973,-59.80008,790.43964,831.68329,106674,-34.84224,794.38434,832.85022,106749,-36.07259,790.07611,857.67798,105974,-60.00289,784.61267,854.78131,100019,-43.96973,796.49353,784.73944,105972,-42.77278,788.57697,807.4267
3,0.089,0.414,0.464,0.0,100015,-62.10219,804.31482,693.92871,106888,-39.15937,797.74725,692.52521,106789,-35.839,801.98859,717.04431,100017,-59.27127,807.9342,717.07715,105973,-59.87687,790.26404,831.95618,106674,-34.99018,794.24146,833.14624,106749,-36.12846,789.73999,857.86072,105974,-59.93187,784.14587,854.75128,100019,-44.26626,796.52478,785.09082,105972,-42.8987,788.42896,807.74603
4,0.09,0.352,0.468,0.0,100015,-62.19638,804.26111,694.13531,106888,-39.20942,797.83423,692.86053,106789,-35.90148,801.96332,717.30286,100017,-59.34383,807.87476,717.29138,105973,-59.92025,790.01971,832.21216,106674,-35.9211,794.79205,833.83868,106749,-36.28785,789.54816,858.13757,105974,-60.02655,784.00684,854.98779,100019,-44.38546,796.46326,785.39325,105972,-43.06214,788.29639,808.03046
5,0.089,0.347,0.467,0.0,100015,-62.36927,804.2196,694.46606,106888,-39.45329,797.71527,693.26727,106789,-35.92817,801.97144,717.64044,100017,-59.43169,807.82916,717.60651,105973,-60.076,789.83545,832.44452,106674,-38.11699,796.62134,835.35205,106749,-36.13214,788.92841,858.15662,105974,-60.16602,783.76093,855.2226,100019,-44.51264,796.40039,785.74908,105972,-43.18801,788.27637,808.39716
6,0.089,0.353,0.468,0.0,100015,-62.533,804.172,694.92273,106888,-39.41578,797.66846,693.50342,106789,-35.98145,802.0141,718.00671,100017,-59.42146,807.78387,717.98401,105973,-60.31841,789.6554,832.73572,106674,-35.40075,793.88574,834.12018,106749,-36.1962,788.7832,858.37311,105974,-60.32717,783.50525,855.52649,100019,-44.67638,796.3429,786.07812,105972,-43.24811,788.1593,808.72205
7,0.089,0.347,0.467,0.0,100015,-63.06591,803.38989,695.33081,106888,-39.36402,797.586,693.80164,106789,-36.02393,802.00116,718.27289,100017,-59.79262,807.28625,718.28455,105973,-60.44321,789.52954,832.9671,106674,-35.52934,793.78778,834.40857,106749,-36.83057,789.11249,858.94403,105974,-60.4753,783.35925,855.85107,100019,-44.7324,796.26385,786.34204,105972,-43.32276,788.03424,808.99933
8,0.089,0.347,0.467,0.0,100015,-63.1936,803.37897,695.79834,106888,-39.30881,797.50104,694.12329,106789,-36.04776,801.92407,718.54175,100017,-59.7812,807.23065,718.52979,105973,-60.50687,789.38422,833.21063,106674,-35.62045,793.67126,834.70258,106749,-36.99469,789.00623,859.23596,105974,-60.61733,783.24097,856.23584,100019,-44.7894,796.19946,786.67212,105972,-43.36745,787.97028,809.28876
9,0.089,0.345,0.464,0.0,100015,-63.16362,803.34216,696.01062,106888,-39.1023,797.57709,694.37756,106789,-38.03608,799.97797,718.14551,100017,-59.77577,807.26807,718.91998,105973,-60.54815,789.26141,833.51776,106674,-35.69911,793.57965,834.98743,106749,-37.18229,789.0484,859.77228,105974,-60.65587,783.17908,856.58173,100019,-44.83213,796.09534,786.96606,105972,-43.44293,787.87433,809.55731
10,0.116,0.347,0.466,0.0,100015,-63.14452,803.35364,696.23145,106888,-39.03325,797.58289,694.68268,106789,-38.00422,799.80536,718.40369,100017,-59.36339,807.68225,719.32373,105973,-60.55937,789.14062,833.80823,106674,-35.74037,793.46948,835.29291,106749,-37.15215,788.90125,860.0697,105974,-60.63229,783.11768,856.84204,100019,-44.812,796.00317,787.21954,105972,-43.46175,787.76672,809.83551
11,0.089,0.345,0.463,0.0,100015,-63.15353,803.3905,696.47101,106888,-38.96666,797.66138,695.02222,106789,-36.05365,801.69244,719.58539,100017,-59.64211,807.25763,719.48547,105973,-60.55045,788.98853,834.14728,106674,-35.73658,793.32776,835.61871,106749,-36.94869,788.58887,860.24298,105974,-60.61731,782.97882,857.04987,100019,-44.80364,795.88495,787.47571,105972,-43.46824,787.66998,810.12469
12,0.089,0.345,0.463,0.0,100015,-62.62144,803.96967,696.68591,106888,-39.20987,797.58734,695.45337,106789,-36.03331,801.64795,719.83984,100017,-59.32068,807.58722,719.78552,105973,-60.54182,788.87671,834.43207,106674,-35.72413,793.19733,835.89276,106749,-36.52607,788.10461,860.27686,105974,-60.69135,782.80847,857.30121,100019,-44.81849,795.80835,787.83008,105972,-43.45444,787.54248,810.37708
13,0.09,0.353,0.467,0.0,100015,-62.6029,803.92767,696.93262,106888,-39.17242,797.61639,695.74414,106789,-35.99813,801.63666,720.12616,100017,-59.68935,807.19836,719.98572,105973,-60.5992,788.80432,834.67102,106674,-36.72097,793.9884,836.77728,106749,-36.46968,787.77069,860.4754,105974,-60.76666,782.67438,857.54498,100019,-44.83214,795.72754,788.07465,105972,-43.5103,787.46759,810.60297
14,0.137,0.346,0.464,0.0,100015,-62.62037,803.84021,697.20093,106888,-39.17471,797.57245,696.00836,106789,-36.36775,801.3382,720.26086,100017,-59.70453,807.17072,720.30688,105973,-60.65552,788.7464,834.86688,106674,-36.73462,793.7995,836.96204,106749,-37.12745,788.09845,861.03534,105974,-60.95445,782.54547,857.79053,100019,-44.84608,795.67328,788.37134,105972,-43.61966,787.41998,810.92426
15,0.09,0.352,0.468,0.0,100015,-62.63252,803.76642,697.62909,106888,-39.20419,797.53479,696.23828,106789,-36.49308,801.4032,720.63055,100017,-59.64889,806.94678,720.47668,105973,-60.79802,788.62799,835.09167,106674,-36.84494,793.68951,837.20483,106749,-37.42298,788.04889,861.26764,105974,-61.15735,782.44061,858.01282,100019,-44.99198,795.52594,788.56921,105972,-43.74603,787.45312,811.29846
16,0.09,0.352,0.468,0.0,100015,-63.0055,803.16412,697.91217,106888,-39.23647,797.45325,696.48462,106789,-36.58097,801.39862,720.87909,100017,-59.71202,806.84656,720.70691,105973,-60.95419,788.46631,835.34265,106674,-37.02974,793.62476,837.46564,106749,-37.64064,787.94843,861.45221,105974,-61.3379,782.33063,858.18481,100019,-45.11148,795.38092,788.77551,105972,-43.86969,787.31421,811.53326
17,0.089,0.345,0.463,0.0,100015,-63.17575,803.09924,698.33539,106888,-39.28272,797.42285,696.77332,106789,-36.62753,801.3338,721.10095,100017,-59.8052,806.75153,720.94659,105973,-61.08065,788.271,835.56824,106674,-37.78157,793.95514,837.19897,106749,-37.9044,787.81146,861.62726,105974,-61.58069,782.17902,858.4079,100019,-45.19105,795.28967,788.99292,105972,-44.03634,787.15814,811.77039
18,0.154,0.353,0.468,0.0,100015,-63.21746,802.99634,698.56036,106888,-39.2952,797.38525,696.99316,106789,-36.64835,801.25214,721.33673,100017,-59.95259,806.62689,721.23395,105973,-61.24519,788.12592,835.79669,106674,-37.55313,793.59558,838.03918,106749,-38.27501,787.59357,861.88831,105974,-61.83179,781.96246,858.6828,100019,-45.27577,795.12848,789.22437,105972,-44.26567,786.96167,812.03003
19,0.089,0.347,0.467,0.0,100015,-63.24418,802.87347,698.75806,106888,-39.29597,797.33148,697.29755,106789,-36.72585,801.1452,721.58026,100017,-60.10027,806.47058,721.56329,105973,-61.49332,788.04065,836.08508,106674,-37.99867,793.56311,838.42896,106749,-38.62987,787.66754,862.39496,105974,-62.06385,781.69446,858.93695,100019,-45.6141,795.01202,789.63721,105972,-44.43513,786.78375,812.22778
20,0.09,0.353,0.467,0.0,100015,-63.20695,802.60248,698.75702,106888,-39.34215,797.28705,697.59601,106789,-36.78151,800.97235,721.8197,100017,-60.49524,806.1488,721.83282,105973,-62.17115,788.2804,836.67798,106674,-39.15392,794.23804,839.1507,106749,-38.27392,786.98267,862.3363,105974,-62.16023,781.49536,859.19647,100019,-45.75208,794.8432,789.86346,105972,-44.50959,786.61023,812.4068
21,0.09,0.353,0.467,0.0,100015,-63.20947,802.47852,698.93231,106888,-39.33505,797.20343,697.81628,106789,-36.81939,800.82751,722.04083,100017,-60.54769,805.95026,721.99835,105973,-61.91499,787.69824,836.5722,106674,-37.21655,792.12524,838.25171,106749,-38.66079,787.02643,862.77765,105974,-62.25774,781.24707,859.45685,100019,-45.8398,794.70709,790.00903,105972,-44.6645,786.41541,812.58868
22,0.154,0.348,0.467,0.0,100015,-63.25081,802.29663,699.09637,106888,-39.32623,797.06769,698.06287,106789,-36.86176,800.66479,722.28394,100017,-60.57859,805.75732,722.19568,105973,-62.01575,787.47522,836.72437,106674,-37.31559,791.84753,838.41101,106749,-38.81056,786.93353,862.97369,105974,-62.33057,781.01068,859.59753,100019,-45.63737,794.35974,790.04425,105972,-44.80058,786.23364,812.75598
23,0.088,0.345,0.912,0.0,100015,-63.27428,802.03302,699.32001,106888,-39.35817,796.90906,698.29993,106789,-36.87624,800.53229,722.48895,100017,-60.88675,805.10162,722.36847,105973,-62.17445,787.22668,836.9444,106674,-37.42032,791.61145,838.54413,106749,-38.93522,786.66992,863.16925,105974,-62.44847,780.75995,859.72192,100019,-45.69252,794.19867,790.26904,105972,-44.96411,786.02588,812.88757
24,0.089,0.348,0.467,0.0,100015,-63.33913,801.64441,699.49042,106888,-39.56623,796.50055,698.42572,106789,-36.93209,800.35327,722.64941,100017,-60.53798,805.27173,722.54639,105973,-63.17696,785.7326,836.2832,106674,-37.67284,791.32892,838.7099,106749,-39.45526,786.58899,863.53412,105974,-62.66419,780.37122,859.84558,100019,-46.22317,794.03552,790.5672,105972,-45.09393,785.76941,813.03082
