frame_idx,logical_point,old_id,new_id
5778,back_rt,106558,106879
5837,back_rt,106879,106888
6537,tip_rt,106674,106901
6597,tip_rt,106901,106904
6739,tip_rb,106749,106909
9832,tip_rt,106904,106951
10129,tip_rb,106909,106952
10633,tip_rb,106952,106957
11008,tip_rb,106957,106959
12531,tip_rb,106959,106962
12672,tip_rb,106962,106963
12686,tip_rt,106951,106964
13285,tip_rb,106963,106967
13782,tip_rb,106967,106968
13794,tip_rb,106968,106969
14113,tip_rb,106969,106970
14137,tip_rt,106964,106971
14313,tip_rt,106971,106972
