display_idx,frame_idx,tip_lt_z,tip_lt_residual_z,tip_lt_down_score,tip_rt_z,tip_rt_residual_z,tip_rt_down_score,tip_rb_z,tip_rb_residual_z,tip_rb_down_score,tip_lb_z,tip_lb_residual_z,tip_lb_down_score,consensus_down,consensus_down_smooth,active_points,is_click
0,0,790.60699,1.8204103529412805,0.0,794.6037,0.9454022745100019,0.0,790.34741,1.9339546666666365,0.0,784.88562,2.1164359215687227,0.0,0.0,0.0,0,0
1,1,790.59991,1.813238392157018,0.0,794.51385,0.9319511764707613,0.0,790.23438,1.8723734117647837,0.0,784.76465,2.0258978823530924,0.0,0.0,0.0,0,0
2,2,790.43964,1.7440864313726934,0.0,794.38434,0.9952947058824293,0.0,790.07611,1.7464101960783864,0.0,784.61267,1.8948821568628773,0.0,0.0,0.0,0,0
3,3,790.26404,1.6555527450982481,0.0,794.24146,1.42454368627466,0.0,789.73999,1.4951358823529972,0.0,784.14587,1.7096637647060788,0.0,0.0,0.0,0,0
4,4,790.01971,1.549633490196129,0.0,794.79205,1.3376526666664859,0.0,789.54816,1.2557924313725835,0.0,784.00684,1.5113929803923156,0.0,0.0,0.0,0,0
5,5,789.83545,1.4709507450980936,0.0,796.62134,1.277861843137316,0.0,788.92841,1.1088196078430883,0.0,783.76093,1.3289068235294508,0.0,0.0,0.0,0,0
6,6,789.6554,1.418931254902077,0.0,793.88574,1.2712534117647465,0.0,788.7832,1.0162466274512099,0.0,783.50525,1.2313019215688428,0.0,0.0,0.0,0,0
7,7,789.52954,1.4076653725491042,0.0,793.78778,1.131191647058813,0.0,789.11249,0.9911930588236828,0.0,783.35925,1.1667105098040338,0.0,0.0,0.0,0,0
8,8,789.38422,1.4186340784314098,0.0,793.67126,0.6281341568626431,0.0,789.00623,1.0862716470588794,0.0,783.24097,1.1548734509804035,0.0,0.0,0.0,0,0
9,9,789.26141,1.4418943921568825,0.0,793.57965,0.6391554117648184,0.0,789.0484,1.1661787843138427,0.0,783.17908,1.1780856862746987,0.0,0.0,0.0,0,0
10,10,789.14062,1.4796801568627416,0.0,793.46948,0.6126169803922039,0.0,788.90125,1.098038862745284,0.0,783.11768,1.2109541960785464,0.0,0.0,0.0,0,0
11,11,788.98853,1.5334413333333714,0.0,793.32776,0.7019789019607288,0.0,788.58887,0.9863883137255698,0.0,782.97882,1.244344235294193,0.0,0.0,0.0,0,0
12,12,788.87671,1.6191312941176648,0.0,793.19733,0.8969175294117804,0.0,788.10461,0.9434475294117419,0.0,782.80847,1.2769000784314812,0.0,0.0,0.0,0,0
13,13,788.80432,1.7076847058823432,0.0,793.9884,1.0982147058823557,0.0,787.77069,0.9163170980392579,0.0,782.67438,1.3045672549021674,0.0,0.0,0.0,0,0
14,14,788.7464,1.795791098039217,0.0,793.7995,1.3010235294118502,0.0,788.09845,0.939659686274581,0.0,782.54547,1.3405786666668291,0.0,0.0,0.0,0,0
15,15,788.62799,1.8593367450980622,0.0,793.68951,1.6000369019607206,0.0,788.04889,1.0434120392156956,0.0,782.44061,1.384267098039345,0.0,0.0,0.0,0,0
16,16,788.46631,1.9107006666665711,0.0,793.62476,1.6615448627452452,0.0,787.94843,1.1741915686275206,0.0,782.33063,1.4168578039215163,0.0,0.0,0.0,0,0
17,17,788.271,1.960913803921585,0.0,793.95514,1.760020000000054,0.0,787.81146,1.260791725490094,0.0,782.17902,1.4273354117648296,0.0,0.0,0.0,0,0
18,18,788.12592,2.0875724705881566,0.0,793.59558,2.020516196078461,0.0,787.59357,1.2185000784313615,0.0,781.96246,1.4245636470589034,0.0,0.0,0.0,0,0
19,19,788.04065,2.1428339607842872,0.0,793.56311,1.8970396470588184,0.0,787.66754,1.216555764705845,0.0,781.69446,1.4014861568626884,0.0,0.0,0.0,0,0
20,20,788.2804,2.200297764705965,0.0,794.23804,1.6610919607844608,0.0,786.98267,1.2319809411765164,0.0,781.49536,1.3826656078432507,0.0,0.0,0.0,0,0
21,21,787.69824,2.245993882352991,0.0,792.12524,1.5105871372550155,0.0,787.02643,1.2559805490195686,0.0,781.24707,1.3611398823529726,0.0,0.0,0.0,0,0
22,22,787.47522,2.010309568627463,0.0,791.84753,1.2761369803921525,0.0,786.93353,1.2643150588236267,0.0,781.01068,1.3297456078432788,0.0,0.0,0.0,0,0
23,23,787.22668,1.6899783529412389,0.0,791.61145,0.8377036078431956,0.0,786.66992,1.3540381960785908,0.0,780.75995,1.2655875686275522,0.0,0.0,0.0,0,0
24,24,785.7326,1.2132018823530188,0.0,791.32892,0.678389372549077,0.0,786.58899,1.3970970588236469,0.0,780.37122,1.2397345098039523,0.0,0.0,0.0,0,0
25,25,785.48419,0.646910666666713,0.0,790.99158,0.7157592156863757,0.0,786.23657,1.4786185882353493,0.0,779.96161,1.1751610980393252,0.0,0.0,0.0,0,0
26,26,784.05884,0.23711972549028815,0.0,790.22021,0.679432862745216,0.0,785.94879,1.4213556078432248,0.0,779.81769,1.053111686274633,0.0,0.0,0.0,0,0
27,27,783.34131,0.003953058823753963,0.0,790.93604,0.6141753333333781,0.0,786.01367,1.2354490196080405,0.0,779.32336,0.9177673333333587,0.0,0.0,0.5892629128585262,0,0
28,28,783.87219,-0.3440118431369683,1.7677887385755786,790.29968,0.4604052549021844,0.0,785.01111,1.1900037254903282,0.0,778.73425,0.7602411372549795,0.0,1.7677887385755786,1.4497420752644512,1,0
29,29,783.2431,-0.5023479607841637,2.581437487217775,789.87225,0.4027861176472243,0.0,784.33801,1.1120239215688343,0.0,778.27661,0.5186871764708485,0.0,2.581437487217775,2.675752580955572,1,0
30,30,782.42804,-0.7157452549017762,3.6780315170733617,789.08966,0.11915137254914043,0.0,784.69312,0.9443333333333612,0.0,777.76898,0.24008447058827187,0.0,3.6780315170733617,4.305343218245106,1,0
31,31,781.95923,-1.1121844313724978,5.7152308916777015,788.75903,-0.23019917647036436,0.7988497078910307,784.21954,0.6905361568628905,0.0,777.24323,-0.03130474509805481,0.14248005087545068,6.656560650444183,6.842785799400629,2,0
