click_id,display_idx,frame_idx,score,peak_val,recover,sharpness,num_points_agree,tip_lt_x,tip_lt_y,tip_lt_z,tip_lt_down_score,tip_rt_x,tip_rt_y,tip_rt_z,tip_rt_down_score,tip_rb_x,tip_rb_y,tip_rb_z,tip_rb_down_score,tip_lb_x,tip_lb_y,tip_lb_z,tip_lb_down_score
0,57,57,25.230001600332532,15.697642952114009,3.4579923989191474,0.33014672733034534,4,836.7276,-66.96362,776.19318,5.590836009752988,840.03278,-41.29755,781.74554,3.526137348192029,864.41809,-43.86148,775.47217,2.5986375752299615,859.9068,-66.87486,769.58234,4.239002077389788
1,114,114,24.819615873991093,14.84808339464177,4.060069900940851,0.5140751200318796,4,833.69366,-66.01332,771.73779,7.519095022622456,837.28644,-41.65001,778.65332,3.342631791834124,861.13574,-43.07072,770.49121,1.3787701567939001,856.99121,-65.83789,763.95508,3.424320169145963
2,247,247,16.840735686463056,8.814180413240448,4.013059201541946,0.3384838954170508,4,809.70435,-83.68765,769.96021,3.7269835938977125,815.97583,-60.54839,779.00415,1.4073110520855008,838.99554,-64.15891,771.70227,0.6504846829195301,833.02618,-84.77737,762.14966,3.3587812484014914
3,584,584,18.41107087145873,12.010623235183123,1.4530691982063733,0.2883829350285927,4,798.81104,-91.26116,767.72412,3.6667232578434605,805.97076,-67.25826,775.86871,2.1393552325038554,828.95569,-70.91977,766.15564,2.1056791084360422,821.28418,-92.7941,758.33856,4.228366643067734
4,882,882,47.309031390202406,33.20277154599793,2.7564846118988946,0.3778875370123913,4,813.15527,-77.54699,767.07538,6.257199090152197,818.72888,-52.41702,774.61835,6.554262160039606,841.7005,-54.96756,764.362,6.981052239124843,834.79523,-76.85672,755.69006,13.43634958479039
5,1362,1362,28.733769341801214,20.033266550984017,1.3565678515828274,0.2679099478783318,4,821.60461,-55.54119,767.21332,5.05930852963838,825.92493,-30.96274,774.922,4.94740154478388,849.40131,-32.02931,765.32562,4.475145666850693,844.73511,-54.98904,758.12378,5.665476426126193
6,1499,1499,14.137214631670526,8.04551339512218,2.945244715580219,0.2656050048629468,2,872.05579,-79.41932,765.94049,6.860919271030114,879.13916,-59.6978,776.53674,0.0,901.90448,-60.92234,766.55829,1.2647157451377862,895.5661,-82.78033,758.52582,0.0
7,1704,1704,21.694253996069346,14.613228132488409,1.384405950731317,0.22530294620618818,4,874.77899,-94.32664,765.18158,4.127221811535403,881.72351,-70.17603,773.90521,2.70144554026528,905.10248,-74.55324,765.16772,1.9793771526322363,896.66107,-93.67845,754.32684,5.969144518687594
8,1980,1980,34.232867147115954,20.260280792539632,6.430819022057625,0.5273661895136108,4,868.79016,-121.50751,764.15228,7.437561697719919,878.61768,-100.82887,775.07874,2.4942757066702392,900.63428,-106.24841,764.00818,5.299247639610895,891.42517,-126.33698,755.01135,6.06267055084815
9,2619,2619,15.069841300853497,7.217021924238058,4.188623333118872,0.5981789324503017,4,798.79309,-122.90921,766.7804,0.8330357177408239,808.33704,-100.96096,775.12787,1.723073311550394,830.48792,-105.97397,764.38861,3.705192103823574,820.98853,-127.07834,756.81506,2.1970491990866776
10,2670,2670,21.551540911215678,14.484583624731556,1.2812196611556086,0.4807250758180972,4,798.22552,-123.99596,766.45966,3.081457212918423,807.90131,-102.67519,775.37219,1.739516737840531,829.66431,-106.73907,763.04034,5.20068474126074,819.86633,-127.83087,755.92316,4.701786169798691
11,3017,3017,19.39276716305365,10.57737898564691,4.253482969131391,0.37738302516256095,4,778.75275,-121.22735,765.82404,3.093976805059634,787.78442,-98.61259,773.47491,4.599735399311051,810.64056,-105.81223,765.05939,1.3038639689851514,801.20337,-126.21028,756.40295,2.1400836660309075
12,3234,3234,17.964501518698494,11.635786424532686,1.5552375844515964,0.1654831647088164,4,778.75909,-91.63489,767.28497,2.092133553811609,785.85706,-67.16528,774.83508,1.7804796209259461,808.67548,-70.8661,764.5531,3.93016529164625,801.10394,-92.78051,757.42108,4.020323397376888
13,3413,3413,28.687086325492995,16.97389429751445,5.004513432285526,0.8330206128773749,4,801.53015,-73.74252,766.75519,4.75918835740699,808.14514,-50.61793,774.49677,3.4915602775799,831.06488,-53.20284,764.45746,3.118062581594079,823.79199,-74.69052,756.5144,6.572847803510663
14,3600,3600,16.252482861160537,10.352812792224933,1.5161305081610834,0.15539144621407797,4,823.21484,-62.07362,767.46094,2.855458281783363,829.22296,-36.86738,774.73322,1.9313669632210848,852.01367,-39.80041,764.24677,2.7967839838291724,845.45013,-62.351,757.56805,2.8639355703670857
15,3764,3764,14.502875076908978,9.004218616482275,1.5133687693869966,0.16804421219005228,4,825.29572,-36.78249,768.09186,2.3007784432126965,831.29163,-12.95404,775.47034,2.1898230743798424,854.27771,-15.28102,765.32422,1.9268833483982044,848.20081,-38.10793,758.52252,2.6096957333336386
16,4264,4264,20.11087045475309,10.941479458809978,4.369103190038173,0.6356879365238965,4,769.93939,-28.23844,769.44843,2.9326889667000207,775.91736,-3.33227,776.82135,5.331091108472302,798.3924,-5.68422,766.01843,0.7958625265197051,792.10791,-28.02713,759.43054,2.3064142410505304
17,4477,4477,16.864083296025285,10.284316828134326,2.1437438191754055,0.301455200550512,4,822.62677,-21.21939,768.69934,2.782530639892106,828.57159,2.63688,775.81854,2.8040962101398037,851.68671,0.14604,765.72968,2.1686812785655087,845.5365,-22.75144,759.20544,2.8023272642650445
18,4635,4635,31.938776433297523,18.513858544260867,6.404981101815105,0.531558447886578,4,855.58429,-11.97063,768.47809,4.878933784515418,861.75446,11.86865,775.28772,5.166536679504776,884.70508,9.01021,764.8996,3.511053940296891,877.97888,-13.43241,758.42316,5.567515913866156
19,4779,4779,26.21817210546806,16.558295165879645,3.3179586900601983,0.3488593995286404,4,860.69867,-37.85431,767.65125,2.8088799015741013,868.61438,-14.81808,775.20618,3.8767817884811993,891.28485,-19.10637,764.81165,4.555418197187045,882.80933,-40.58688,757.46259,5.403178132984221
20,5056,5056,14.367923386989432,7.413276907737912,3.640927129087608,0.379472555685076,3,831.45953,-109.94777,767.71069,0.34915608111208174,841.07751,-87.52789,775.40021,2.8057307680119328,863.13263,-92.91917,764.78467,3.016117981315338,853.28381,-114.27478,757.63568,1.2841784952232458
21,5127,5127,19.589289775983513,11.151978209107877,3.7683124903356946,0.2468112276151544,4,829.07819,-108.7765,767.05371,2.953989966738684,839.18488,-86.17976,774.63147,4.792761020274624,861.48688,-92.74169,764.29968,1.6591688029171414,851.36713,-114.38908,757.33063,1.8160621219213036
22,5589,5589,14.917087040791959,8.548166984801982,2.4020051639128646,0.4049295932730361,4,786.76147,-94.08995,767.38495,2.1029138323033654,795.13086,-71.29344,775.60297,2.190911917734894,817.65118,-75.64735,765.03247,2.6278548435838394,809.20117,-97.24096,757.3233,1.856241777918234
23,5718,5718,25.927409096025375,15.838516437948481,3.8455782519930803,0.5835189493985373,4,774.02448,-108.37615,766.80841,4.101786641700249,782.34521,-85.4165,774.76782,4.4159477316826665,805.32599,-91.37888,765.63562,2.90386466724716,796.47479,-111.47038,756.95721,4.595612811197736
24,5752,5752,17.155999183499365,10.519973020546196,2.2204719997628395,0.11912451405293734,4,768.22339,-80.45273,768.30322,2.499243581833859,774.17352,-57.1197,776.08069,2.420786060934036,797.151,-59.36679,765.81592,3.0538239376828953,790.90167,-81.88875,758.57727,3.150645904030277
25,5791,5791,14.287233112380004,8.26944935793238,2.2210241996411906,0.2318494948534373,4,762.65564,-44.20564,769.63202,1.4017818095870376,766.4751,-20.5054,777.73004,1.3488240646596081,790.05078,-20.65035,766.71515,3.6812319381909018,784.9668,-43.42216,759.45605,1.807965469847324
26,5985,5985,20.743147613006155,12.516438791263173,2.9995679368286314,0.5444184950708042,4,760.62469,-14.99815,769.14453,4.303245148985592,764.88104,8.44513,776.70795,4.696587069929876,788.39624,8.46573,767.31189,0.9394040338845303,783.29578,-14.213,759.1084,2.728259398799412
27,6025,6025,16.96200990751097,8.150966781477681,4.641913930549121,1.047678322081726,4,761.87872,-13.85028,770.03436,3.1991022036740584,766.50653,8.31334,778.34039,3.8432221148100676,789.11053,9.55039,767.66949,1.457019686748139,784.32733,-12.93698,760.09088,1.0757233042698122
28,6069,6069,21.317646151544707,11.212513810514873,5.621869633565385,0.43901712861997844,3,784.41895,-5.41826,770.04016,4.12491038440577,788.22131,16.44697,778.39819,6.3969098018178485,811.11682,18.69514,766.86035,0.8956119604546754,807.1662,-4.84338,760.54431,0.0
29,6165,6165,42.50831379701452,25.02756649627353,8.153982382582498,1.2369899385528633,4,784.60376,-3.88347,769.08081,5.544070015012989,789.12524,20.1185,776.58087,14.992305521736295,812.45978,19.0317,766.38831,2.3533447767365008,807.56006,-4.13944,759.60376,2.236945241122385
30,6592,6592,14.10071422296517,8.863088671658051,1.3276519296954543,0.102094040228498,4,848.11768,-23.13912,768.39905,1.8922851862617012,854.1756,0.56681,775.98438,2.285120615375382,877.23438,-1.71608,765.87781,1.7938507103380208,870.70685,-24.02331,758.42554,2.860338188743685
31,6925,6925,20.177777911865327,12.943450132291574,2.058582481340446,0.18542051709166607,4,764.43854,-56.59916,768.29706,2.0854417002203123,770.18347,-32.22363,775.84174,2.895023816254738,793.18646,-34.41589,765.52509,5.025265447695034,787.04407,-57.12027,758.41083,3.1457703854777974
32,6968,6968,14.439518605229829,6.694492586093796,4.223058042847274,0.6272404009212398,4,761.20526,-47.64006,768.83124,1.9684061040290426,766.75494,-23.78671,776.69421,2.4828568005042446,789.91577,-25.80409,766.52399,1.946813219633386,784.02271,-48.16721,758.98523,1.49415367138701
33,7139,7139,24.036571356119367,14.473454955202824,3.8412706669192556,0.35961849487288244,4,757.83429,-29.61002,768.92822,2.7852944779994235,763.11078,-5.601,776.30139,3.0117405840148224,785.53522,-6.93163,764.94019,4.4510127311661325,780.22754,-29.83911,758.49988,4.460238994603234
34,7276,7276,38.134891294885925,21.17615327443459,8.778218482780995,1.2553471106799226,4,758.27496,-10.68573,768.96564,2.9937070155710863,762.2995,14.55875,776.52026,2.9115132404278197,784.66449,14.73788,765.21844,8.959981357531854,780.07953,-8.35069,758.21472,6.48002946761145
35,7396,7396,17.443138307138295,10.047144381613649,3.0407306591661225,0.2822399037488621,4,777.85071,-6.91005,769.24872,2.00211868182743,781.88062,17.20338,776.86505,2.6798254470107543,804.67609,16.40524,766.27356,1.769485400947251,800.03247,-5.98149,758.92847,3.87440106905354
36,7430,7430,16.46840728174679,9.914910230459757,2.0758624605231724,0.6063230432518623,4,775.7569,-14.10247,769.34625,1.8487400755498116,780.15204,9.89093,777.02557,2.1901079074186898,803.4137,9.14542,767.00031,3.2281662375141313,798.49133,-13.81565,759.54639,2.614479153205231
37,7774,7774,17.447950144559993,9.383617984097928,3.9247888585246837,0.24891581341600588,4,763.08771,-53.81496,768.0387,2.717555556748171,768.62256,-28.76477,775.664,2.2724511928249957,791.67932,-31.36341,765.4621,1.9245020213165858,785.31525,-53.29508,757.96185,2.7227313361049585
38,8046,8046,16.651211107022927,9.391467728082445,3.122131638149294,0.24034284473291478,4,802.67706,-107.06915,767.28577,1.8018664694672626,811.63232,-84.39179,775.08429,1.548892396842152,834.22943,-90.09064,764.91711,2.7639485118846516,824.72791,-110.83392,757.17792,3.442256387288167
